name,iban,bic,amount,reference,address,favorite_store
Lopez Solutions,ES7921000813610123456789,BBVAESMM,184.05,Invoice 2025317,"Calea Victoriei 637, 91046 Naples",Casino
Gheorghiu Consulting,ES1000492352082414205416,BSCHESMM,36758.94,Commission 2026215,"Station Road 520, 41292 Stuttgart",Aldi
Popa Systems,DE62370400440532013001,DRESDEFF100,18036.50,Consulting 2025963,"Via Nazionale 940, 52172 Bologna",Esselunga
John Brown,IT28W8000000292100645211111,UNCRITMM,26358.54,Consulting 2026868,"Plaza de España 128, 86978 Stuttgart",Albert Heijn
Marin Corporation,AT611904300234573201,GIBAATWWXXX,13560.67,Credit Note 2026502,"Via Nazionale 973, 37516 Dresden",Dia
Schaefer Logistics,CH5604835012345678009,CRESCHZZXXX,3813.53,Salary 2025604,"Calle Mayor 665, 52648 Toulouse",Penny
Lisa Petit,NL91ABNA0417164300,TRIONL2UXXX,9935.03,Salary 2024488,"Bahnhofstrasse 126, 69317 Cluj-Napoca",Coop Schweiz
Bianchi Solutions,BE68539007547034,GEBABEBB,23654.47,Advance 2025294,"Bulevardul Unirii 333, 94380 Hamburg",El Corte Inglés
Lena Jones,IT28W8000000292100645211111,BLOPIT22XXX,48610.06,Payment 2026620,"Kirchweg 147, 16014 Malaga",Kaufland
Ioana Gheorghiu,BE68539007547034,AXABBE22XXX,25275.94,Support 2026262,"Kirchweg 66, 57691 Malaga",Edeka
Gheorghiu AG,IT60X0542811101000000123456,BPPIITRRXXX,14442.01,Subscription 2024724,"Boulevard Victor Hugo 454, 10621 Bucharest",Albert Heijn
Jones Solutions,NL02ABNA0123456789,INGBNL2AXXX,30154.11,Services 2025211,"Main Street 388, 52227 Eindhoven",Alcampo
Weber Corporation,BE71096123456769,KREDBEBB,36353.40,Invoice 2024134,"Calea Victoriei 548, 18217 Salzburg",Albert Heijn
Martinez Solutions,FR7612548029989876543210843,BNPAFRPPXXX,981.42,Retainer 2026351,"Park Avenue 490, 96515 Nice",Edeka
James Romano,CH5604835012345678009,CRESCHZZXXX,12168.41,Services 2025571,"Bulevardul Unirii 32, 40317 Bilbao",Penny
Lea Dubois,AT483200000012345864,RLNWATWWXXX,14010.68,Retainer 2026771,"Schulstrasse 670, 46146 Amsterdam",Casino
Lena Dumitrescu,NL91ABNA0417164300,RABONL2UXXX,5300.80,Fee 2026454,"Boulevard Victor Hugo 205, 79494 Stuttgart",Jumbo
John Gonzalez,DE91100000000123456789,COBADEFFXXX,22896.00,Advance 2025263,"Boulevard Victor Hugo 191, 91442 Dresden",Coop Schweiz
Alexandru Ferrari,AT611904300234573201,GIBAATWWXXX,41696.12,Payment 2026299,"Calle Real 687, 99231 Barcelona",Auchan
Sarah Stoica,BE68539007547034,KREDBEBB,14362.96,Bonus 2026163,"Bulevardul Unirii 112, 89304 Antwerp",Aldi
Romano GmbH,BE68539007547034,KREDBEBB,17055.88,Retainer 2026411,"Bulevardul Unirii 680, 12515 Valencia",Rewe
Clara Bernard,RO09BCYP0000001234567890,RNCBROBU,40415.42,Invoice 2025403,"Calle Real 233, 60078 Frankfurt",Aldi
Anna Rodriguez,FR7612548029989876543210843,BNPAFRPPXXX,20207.91,Bonus 2025496,"Station Road 96, 98361 Cluj-Napoca",Rewe
Maria Constantinescu,DE89370400440532013000,COBADEFFXXX,47716.20,Services 2024895,"Bulevardul Unirii 562, 67312 Amsterdam",Conad
Richard Marin,AT483200000012345864,BKAUATWWXXX,45142.62,Maintenance 2025947,"Hauptstrasse 386, 48041 Hamburg",Kaufland Romania
Andrei Mueller,CH5604835012345678009,CRESCHZZXXX,18433.90,Services 2026569,"Manor Road 87, 10414 Turin",Leclerc
Antonio Moldovan,RO66BRDE410SV38975310410,BTRLRO22XXX,21106.69,Bonus 2024174,"Calea Victoriei 803, 88571 Bucharest",Rewe
Ion Bianchi,IT60X0542811101000000123456,UNCRITMM,1738.48,Commission 2026586,"Church Road 241, 37617 Stuttgart",Real
Lena Dumitrescu,NL02ABNA0123456789,RABONL2UXXX,43680.84,Order 2026167,"Avenue des Champs 201, 43218 Dresden",Coop Schweiz
David Hernandez,CH9300762011623852957,UBSWCHZHXXX,37102.18,Fee 2026873,"Green Lane 642, 67745 Dresden",Jumbo
Noah Klein,CH5604835012345678009,POFICHBEXXX,36516.51,Maintenance 2025013,"Corso Italia 758, 14384 Antwerp",Jumbo
Lisa Marin,DE89370400440532013000,COBADEFFXXX,26628.95,Salary 2024630,"Boulevard Victor Hugo 687, 23565 Valencia",Migros
Francesco Miller,RO66BRDE410SV38975310410,RNCBROBU,24883.16,Commission 2024393,"Main Street 953, 88388 Berlin",Esselunga
Ion Johnson,FR7612548029989876543210843,AGRIFRPPXXX,44821.49,Retainer 2026259,"Boulevard Victor Hugo 897, 43032 Cologne",Kaufland Romania
Antonio Brown,AT483200000012345864,RLNWATWWXXX,6038.70,Credit Note 2025231,"High Street 641, 61030 Milan",Monoprix
Romano Holdings,BE71096123456769,AXABBE22XXX,8340.47,Support 2026326,"High Street 454, 30675 Rotterdam",Dia
Antonio Tudor,IT28W8000000292100645211111,UNCRITMM,34971.32,Consulting 2026577,"Park Avenue 114, 47246 Amsterdam",Real
Johnson Trading,FR7612548029989876543210843,AGRIFRPPXXX,19832.52,Payment 2024960,"Green Lane 413, 90253 Lyon",Carrefour Romania
Thomas AG,NL02ABNA0123456789,TRIONL2UXXX,4362.26,Fee 2026940,"Park Road 373, 22586 Toulouse",Penny
Hernandez AG,NL91ABNA0417164300,TRIONL2UXXX,6899.03,Payment 2025329,"Hauptstrasse 678, 21626 Bucharest",Coop Schweiz
Felix Johnson,FR7630006000011234567890189,CEPAFRPP415,23612.03,Order 2024572,"Corso Italia 737, 96667 Cologne",Denner
Giuseppe Tudor,FR7630006000011234567890189,CEPAFRPP415,11196.46,Subscription 2025453,"Rue du Commerce 592, 85386 Antwerp",Carrefour
Sophie Popescu,FR7630006000011234567890189,SOGEFRPPXXX,44085.93,Maintenance 2024236,"Corso Italia 989, 38065 Hamburg",Esselunga
Mia Schneider,AT483200000012345864,RLNWATWWXXX,22691.27,Advance 2024792,"Church Road 331, 47915 Hamburg",Coop
Stan Systems,NL02ABNA0123456789,INGBNL2AXXX,7020.67,Invoice 2024059,"Plaza de España 26, 65883 Utrecht",Carrefour Romania
Colombo Industries,NL02ABNA0123456789,TRIONL2UXXX,34538.21,Consulting 2025782,"Via Milano 883, 73503 Valencia",Edeka
Finn Popa,NL02ABNA0123456789,TRIONL2UXXX,7939.09,Support 2025093,"Calea Victoriei 691, 82684 Vienna",Mega Image
Laura Jones,AT483200000012345864,RLNWATWWXXX,45259.51,Salary 2025746,"Avenue des Champs 226, 81912 Bucharest",Albert Heijn
Antonio Stan,IT40S0542811101000000123456,BPPIITRRXXX,394.70,Salary 2024677,"Avenida Principal 347, 65015 Madrid",Plus
Noah Becker,CH5604835012345678009,UBSWCHZHXXX,26225.83,Advance 2026900,"Via Roma 643, 69468 Vienna",Carrefour
William Meyer,FR1420041010050500013M02606,BNPAFRPPXXX,19219.16,Subscription 2025227,"Gartenstrasse 451, 18122 Lille",Mercadona
Michael Ionescu,RO09BCYP0000001234567890,BCYPROBUXXX,29515.19,Commission 2026962,"Strada Principala 159, 38296 Frankfurt",Esselunga
Jacques Klein,AT611904300234573201,BKAUATWWXXX,9258.12,Bonus 2024553,"Church Road 103, 21402 Lyon",Kaufland Romania
Andreea Bianchi,FR7612548029989876543210843,BNPAFRPPXXX,8736.61,Commission 2026919,"Bahnhofstrasse 451, 75228 Paris",Coop Schweiz
Alain Becker,NL91ABNA0417164300,ABNANL2AXXX,19151.76,Salary 2026287,"Via Milano 738, 46896 Bologna",Auchan
Stoica Trading,ES9121000418450200051332,BSCHESMM,2683.79,Credit Note 2024605,"Green Lane 195, 44577 Vienna",Carrefour Italia
Maria Brown,RO49AAAA1B31007593840000,BCYPROBUXXX,15965.88,Commission 2024598,"Avenida Principal 548, 75497 Bordeaux",Lidl
Michael Robert,NL02ABNA0123456789,ABNANL2AXXX,24603.01,Salary 2026853,"Rue du Commerce 740, 58057 Rome",Leclerc
Bianchi Logistics,NL02ABNA0123456789,INGBNL2AXXX,37461.57,Payment 2026263,"Rue du Commerce 433, 89669 Turin",Aldi
Richard Rodriguez,DE89370400440532013000,BYLADEM1XXX,9479.75,Subscription 2026087,"Avenida Principal 374, 89846 Naples",Carrefour Italia
Mihai Klein,FR7612548029989876543210843,AGRIFRPPXXX,9538.89,Maintenance 2025179,"Church Street 196, 95155 Malaga",El Corte Inglés
Antonio Thomas,RO76BTRL01304205R50067XX,BTRLRO22XXX,37073.64,Order 2026240,"Calle Mayor 332, 61947 Paris",Albert Heijn
Dumitrescu Partners,AT483200000012345864,BKAUATWWXXX,39279.83,Support 2025450,"Rue du Commerce 692, 77468 Geneva",Aldi
Maria Hoffmann,FR7612548029989876543210843,CEPAFRPP415,13422.13,Retainer 2026950,"Main Street 497, 68125 Geneva",Mercadona
Davis Logistics,DE62370400440532013001,DEUTDEFFXXX,19275.77,Credit Note 2026319,"Calle Real 997, 29233 Stuttgart",Albert Heijn
Martinez International,ES7921000813610123456789,BSCHESMM,38240.22,Invoice 2026108,"Bahnhofstrasse 86, 14959 Marseille",Leclerc
Michel Schmidt,CH5604835012345678009,UBSWCHZHXXX,18715.53,Commission 2026767,"Manor Road 173, 85318 Toulouse",Spar
Ion Hernandez,BE71096123456769,GKCCBEBB,30054.23,Retainer 2025743,"Main Street 572, 58621 Venice",Auchan
Hans Barbu,RO09BCYP0000001234567890,BTRLRO22XXX,30446.88,Invoice 2024615,"High Street 994, 38756 Berlin",Carrefour Italia
Dubois Solutions,BE71096123456769,KREDBEBB,13169.47,Maintenance 2025912,"Calle Mayor 355, 69228 Brussels",Edeka
Andreea Martinez,DE44500105175407324931,BYLADEM1XXX,19142.83,Advance 2025334,"Church Street 920, 72793 Paris",Conad
Carlos Koch,CH5604835012345678009,POFICHBEXXX,9366.06,Commission 2024156,"Calle Mayor 133, 62988 Utrecht",Mercadona
Alain Mueller,DE62370400440532013001,DEUTDEFFXXX,14968.40,Bonus 2025479,"Avenida Principal 412, 34575 Lyon",Plus
Francisco Mueller,DE27100777770209299700,COBADEFFXXX,16049.18,Retainer 2026360,"Kirchweg 873, 43283 Bilbao",Kaufland Romania
Anna Martin,FR7612548029989876543210843,CEPAFRPP415,27571.23,Subscription 2026037,"Corso Italia 950, 13181 Antwerp",Rewe
Dumitrescu AG,AT483200000012345864,RLNWATWWXXX,3506.16,Consulting 2025780,"Strada Principala 292, 28585 Milan",Carrefour
Ferrari Enterprises,RO49AAAA1B31007593840000,BCYPROBUXXX,4225.91,Refund 2025255,"Piazza Garibaldi 546, 39795 Vienna",Aldi
Mihai Williams,RO09BCYP0000001234567890,BCYPROBUXXX,12812.54,Advance 2024943,"Bahnhofstrasse 127, 68783 Malaga",Rewe
Leon Petit,AT611904300234573201,BKAUATWWXXX,4908.01,Retainer 2026587,"Plaza de España 912, 52783 Bilbao",Plus
Paul Fischer,IT28W8000000292100645211111,UNCRITMM,42160.40,Payment 2026800,"Park Road 893, 79782 Bucharest",Migros
Sarah Gheorghiu,BE71096123456769,GEBABEBB,36689.96,Bonus 2025117,"Strada Principala 937, 46461 Naples",Kaufland
Adrian Richter,ES1000492352082414205416,BBVAESMM,7016.52,Contract 2026905,"Bulevardul Unirii 928, 17443 Valencia",Dia
Clara Petit,CH5604835012345678009,POFICHBEXXX,28268.68,Advance 2025865,"Park Road 36, 41822 Rotterdam",Plus
Jacques Schmidt,ES7921000813610123456789,BSCHESMM,5954.44,Maintenance 2026210,"Via Nazionale 548, 28062 Cluj-Napoca",Monoprix
Russo Technologies,NL91ABNA0417164300,RABONL2UXXX,11579.01,Subscription 2025765,"Via Roma 984, 22105 Rotterdam",Mercadona
Alessandro Martinez,CH9300762011623852957,CRESCHZZXXX,36446.05,Retainer 2026555,"Park Avenue 288, 88575 Venice",Kaufland Romania
Miller Group,IT40S0542811101000000123456,BCITITMM,11629.29,Advance 2024453,"High Street 681, 10016 Valencia",Carrefour Italia
Elias Constantinescu,BE71096123456769,AXABBE22XXX,29858.52,Salary 2026800,"Avenida Principal 305, 95820 Dresden",Plus
Finn Hernandez,ES9121000418450200051332,POPUESMM,49234.30,Retainer 2024111,"Plaza de España 491, 69467 Bucharest",Spar
Andreea Moldovan,FR1420041010050500013M02606,SOGEFRPPXXX,44697.34,Bonus 2026478,"Gartenstrasse 241, 76923 Brussels",El Corte Inglés
Marco Wagner,FR7630006000011234567890189,AGRIFRPPXXX,7835.38,License 2025522,"Via Milano 106, 65786 Bordeaux",Coop
William Robert,NL02ABNA0123456789,TRIONL2UXXX,37111.07,Bonus 2024949,"Calle Mayor 762, 14074 Marseille",Albert Heijn
Cristian Durand,IT40S0542811101000000123456,UNCRITMM,40057.56,Maintenance 2025901,"Via Roma 761, 80258 Cologne",Kaufland
Stan GmbH,FR7630006000011234567890189,CEPAFRPP415,30379.55,Contract 2025642,"Church Street 55, 42023 Valencia",Kaufland
Alexander Petit,IT60X0542811101000000123456,BPPIITRRXXX,22479.29,Bonus 2026775,"Park Road 472, 82456 Vienna",Edeka
Francesco Lopez,FR7612548029989876543210843,SOGEFRPPXXX,2585.84,Bonus 2024191,"Calle Mayor 751, 61842 Milan",Real
Emma Davis,BE71096123456769,GKCCBEBB,2675.17,Refund 2025105,"Victoria Street 512, 40621 Seville",Aldi
Gabriela Schneider,IT40S0542811101000000123456,INTESA,9678.83,Contract 2025681,"Strada Principala 677, 21995 Rotterdam",Real
Julia Richter,CH5604835012345678009,CRESCHZZXXX,45127.75,Consulting 2025314,"Kirchweg 161, 16951 Bilbao",Mercadona
Barbu Trading,DE27100777770209299700,BYLADEM1XXX,29874.74,Invoice 2024285,"Boulevard Victor Hugo 168, 18032 Florence",El Corte Inglés
Jacques Klein,RO76BTRL01304205R50067XX,INGBROBU,49083.41,Credit Note 2024777,"Piazza Garibaldi 262, 11293 Barcelona",Coop
Richter Industries,CH9300762011623852957,CRESCHZZXXX,1939.00,Support 2025784,"Via Roma 660, 58012 Rome",Spar
Ioana Robert,FR7612548029989876543210843,CEPAFRPP415,36675.09,Bonus 2025748,"High Street 193, 61450 Eindhoven",Esselunga
Lopez Holdings,IT28W8000000292100645211111,BLOPIT22XXX,45962.58,Advance 2024942,"Church Road 121, 10015 Stuttgart",Denner
Maximilian Russo,DE27100777770209299700,INGDDEFFXXX,46937.57,Advance 2025030,"Hauptstrasse 780, 54359 Nice",Auchan
Emma Schulz,BE68539007547034,GKCCBEBB,26438.34,Fee 2026449,"High Street 445, 50727 Barcelona",Monoprix
Emma Hoffmann,RO76BTRL01304205R50067XX,INGBROBU,20921.14,License 2025586,"Piazza Garibaldi 312, 39960 Rotterdam",Migros
Martin Partners,NL02ABNA0123456789,ABNANL2AXXX,4629.12,Advance 2024599,"Avenida Principal 491, 39775 Paris",Mega Image
Laura Schmidt,DE89370400440532013000,DRESDEFF100,24691.77,Retainer 2025004,"Station Road 207, 98285 Zurich",El Corte Inglés
Noah Colombo,FR7630006000011234567890189,CRLYFRPPXXX,5224.60,Services 2026785,"Piazza Garibaldi 665, 12414 Brussels",Kaufland Romania
Ana Romano,CH5604835012345678009,POFICHBEXXX,8308.55,Bonus 2024635,"Schulstrasse 992, 29693 Zurich",Denner
Barbu Solutions,NL02ABNA0123456789,INGBNL2AXXX,15972.72,Invoice 2026172,"Piazza Garibaldi 395, 93206 Malaga",Migros
Lea Johnson,BE71096123456769,AXABBE22XXX,12081.53,Retainer 2026958,"Park Avenue 601, 45813 Amsterdam",Carrefour Romania
Russo KG,NL02ABNA0123456789,TRIONL2UXXX,19813.77,Consulting 2025593,"Via Milano 936, 33741 Toulouse",Monoprix
Mia Jones,FR7612548029989876543210843,CEPAFRPP415,39597.49,License 2025953,"Gartenstrasse 665, 32409 Zurich",Denner
Giovanni Ferrari,ES9121000418450200051332,POPUESMM,27689.54,Advance 2024447,"Avenue des Champs 741, 77027 Zurich",Lidl
Stoica Services,AT611904300234573201,BKAUATWWXXX,45691.21,License 2026426,"Station Road 866, 98917 Zurich",Dia
Jose Bianchi,RO66BRDE410SV38975310410,BTRLRO22XXX,279.85,Invoice 2026386,"Gartenstrasse 426, 42716 Bologna",Edeka
William Barbu,IT40S0542811101000000123456,BLOPIT22XXX,9281.06,Payment 2026220,"Boulevard Victor Hugo 496, 80611 Zurich",Auchan
David Martinez,CH5604835012345678009,CRESCHZZXXX,13522.15,Salary 2026519,"Manor Road 122, 38997 Bilbao",Carrefour
Ion Klein,CH9300762011623852957,POFICHBEXXX,1964.34,Bonus 2025218,"Bulevardul Unirii 935, 78994 Frankfurt",Coop
Felix Klein,FR7612548029989876543210843,BNPAFRPPXXX,3429.63,Credit Note 2026932,"Kirchweg 577, 87422 Venice",Rewe
William Mueller,RO09BCYP0000001234567890,BTRLRO22XXX,37377.62,License 2024384,"Calle Mayor 339, 22427 Nice",Conad
Thomas Logistics,DE91100000000123456789,INGDDEFFXXX,37390.56,Maintenance 2025479,"Via Nazionale 956, 83773 Eindhoven",Coop Schweiz
Thomas Group,NL91ABNA0417164300,ABNANL2AXXX,44200.22,Commission 2024447,"Via Nazionale 275, 52792 Turin",Edeka
Antonio Gheorghiu,AT483200000012345864,BKAUATWWXXX,46438.64,Support 2026559,"Bulevardul Unirii 833, 40979 Toulouse",Mercadona
Daniela Stan,FR7630006000011234567890189,BNPAFRPPXXX,25306.57,Advance 2026305,"Plaza de España 225, 91469 Paris",Plus
Michael Rodriguez,FR1420041010050500013M02606,CEPAFRPP415,37770.89,Contract 2025552,"High Street 949, 84106 Rome",Carrefour
